attack_pattern	vulnerability
#4189:0	#219:1843
#4208:0	#247:826
#4180:1	#228:2718
#4182:0	#234:834
#4189:1	#212:1872
#4193:0	#248:687
#4194:1	#212:3506
#4200:1	#222:1576
#4184:0	#227:3345
#4183:1	#227:3062
#4199:1	#230:1757
#4197:1	#212:3506
#4209:0	#239:2913
#4199:1	#240:1822
#4183:1	#211:2541
#4183:0	#239:2988
#3993:4	#4211:0
#4183:1	#230:2920
#4207:0	#214:1514
#4199:0	#230:1757
#3989:4	#4181:1
#4178:0	#245:2810
#4190:1	#210:1824
#4196:1	#240:1822
#4182:1	#226:3775
#4193:0	#222:2324
#4191:0	#242:3770
#4189:0	#238:624
#4194:1	#230:1757
#3994:2	#4191:1
#4196:1	#216:2473
#4193:0	#231:3542
#4193:0	#233:2520
#4209:0	#224:722
#3978:3	#4200:1
#4008:3	#4210:0
#4213:0	#209:1942
#4193:0	#234:3380
#4188:1	#240:1822
#4193:0	#225:2935
#4197:0	#227:3345
#4183:1	#233:307
#3996:4	#4184:1
#4215:0	#216:1081
#4001:4	#4180:1
#4183:1	#238:1691
#4007:5	#4196:1
#4189:0	#230:2522
#4179:0	#234:834
#4189:0	#237:1929
#4195:1	#245:279
#4190:0	#246:1396
#4189:0	#216:1331
#4183:1	#217:200
#4192:0	#245:2810
#4006:4	#4196:0
#4208:0	#240:1822
#4211:0	#241:3375
#4189:0	#217:1363
#4193:0	#230:3621
#4187:0	#233:598
#4197:1	#245:2810
#4193:0	#234:1385
#4200:1	#230:1757
#4182:1	#246:1956
#3983:4	#4198:0
#3981:4	#4179:0
#4213:0	#212:585
#4183:1	#243:2840
#4195:1	#244:1342
